Num.CMD,Date.CMD,Client,Adresse,Code Produit,Produit,Qte,Montant HT,Taxe,Montant TTC,Type Vente,Catégorie Produit,Wilaya,Forme Juridique,Mois,Année,Nom Mois,PU_Vente,PMP,Marge_Unitaire,Marge_Totale,Taux_Marge,Cout_Ligne
SLSG/0006,2025-05-02,SARL ABC,"Cité 20 Aout, Alger",LAP.0120,Laptop HP Probook G4,2.0,250000.0,47500.0,297500.0,Government,LAP,Alger,SARL,5,2025,May,125000.0,101666.66666666667,23333.33333333333,46666.66666666666,18.6667,203333.33333333334
SLSD/0007,2025-05-04,EURL HAMIDI,"Promotion Bahia, Oran",PRI.0020,Printer Canon 6030,2.0,98000.0,18620.0,116620.0,Direct,PRI,Oran,EURL,5,2025,May,49000.0,39461.53846153846,9538.461538461539,19076.923076923078,19.4662,78923.07692307692
VCD/0008,2025-06-05,SARL ABC,"Cité 05 Juillet, Constantine",COMPU.0020,Laptop HP Probook G4,3.0,384000.0,72960.0,456960.0,Direct,COMPU,Constantine,SARL,6,2025,June,128000.0,106685.71428571429,21314.28571428571,63942.85714285713,16.6518,320057.14285714284
VCD/0008,2025-06-05,SARL ABC,"Cité 05 Juillet, Constantine",COMPU.0020,Laptop HP Probook G4,3.0,384000.0,72960.0,456960.0,Direct,COMPU,Constantine,SARL,6,2025,June,128000.0,109716.66666666667,18283.33333333333,54849.999999999985,14.2839,329150.0
VCD/0008,2025-06-05,SARL ABC,"Cité 05 Juillet, Constantine",IMPR.0002,Printer Canon 6030,2.0,100000.0,19000.0,119000.0,Direct,IMPR,Constantine,SARL,6,2025,June,50000.0,43974.6835443038,6025.3164556962,12050.6329113924,12.0506,87949.3670886076
VCD/0008,2025-06-05,SARL ABC,"Cité 05 Juillet, Constantine",INK.0034,Toner Canon 6030,5.0,9500.0,1805.0,11305.0,Direct,INK,Constantine,SARL,6,2025,June,1900.0,50.72727272727273,1849.2727272727273,9246.363636363636,97.3301,253.63636363636363
VCR/0009,2025-06-12,EURL XYZ,"Coopérative Rym, Blida",COMPU.0011,Laptop Lenovo 110,2.0,182000.0,34580.0,216580.0,Retail,COMPU,Blida,EURL,6,2025,June,91000.0,72511.11111111111,18488.88888888889,36977.77777777778,20.3175,145022.22222222222
VCR/0009,2025-06-12,EURL XYZ,"Coopérative Rym, Blida",IMPR.0007,Printer EPSON 3010,3.0,99000.0,18810.0,117810.0,Retail,IMPR,Blida,EURL,6,2025,June,33000.0,24855.555555555555,8144.444444444445,24433.333333333336,24.6801,74566.66666666666
VCR/0009,2025-06-12,EURL XYZ,"Coopérative Rym, Blida",SCA.0002,Scanner Epson 1600,2.0,44000.0,8360.0,52360.0,Retail,SCA,Blida,EURL,6,2025,June,22000.0,15237.554585152839,6762.445414847161,13524.890829694323,30.7384,30475.109170305677
VCD/0010,2025-06-18,SNC Wiffak,"Boulvard Nord, Sétif",INK.0001,INK Canon 3210,15.0,28500.0,5415.0,33915.0,Direct,INK,Sétif,SNC,6,2025,June,1900.0,608.7982832618026,1291.2017167381973,19368.02575107296,67.958,9131.97424892704
VCD/0010,2025-06-18,SNC Wiffak,"Boulvard Nord, Sétif",INK.0005,INK Epson 110,20.0,17000.0,3230.0,20230.0,Direct,INK,Sétif,SNC,6,2025,June,850.0,612.5409836065573,237.45901639344265,4749.180327868853,27.9364,12250.819672131147
VCD/0011,2025-06-25,EURL HAMIDI,"Promotion Bahia, Oran",COMPU.0020,Laptop HP Probook G4,2.0,256000.0,48640.0,304640.0,Direct,COMPU,Oran,EURL,6,2025,June,128000.0,106685.71428571429,21314.28571428571,42628.57142857142,16.6518,213371.42857142858
VCD/0011,2025-06-25,EURL HAMIDI,"Promotion Bahia, Oran",COMPU.0020,Laptop HP Probook G4,2.0,256000.0,48640.0,304640.0,Direct,COMPU,Oran,EURL,6,2025,June,128000.0,109716.66666666667,18283.33333333333,36566.66666666666,14.2839,219433.33333333334
VCD/0011,2025-06-25,EURL HAMIDI,"Promotion Bahia, Oran",IMPR.0002,Printer Canon 6030,3.0,150000.0,28500.0,178500.0,Direct,IMPR,Oran,EURL,6,2025,June,50000.0,43974.6835443038,6025.3164556962,18075.9493670886,12.0506,131924.05063291139
VCD/0012,2025-07-03,SARL AGRODZ,"Cité 310 logt Kouba, Alger",COMPU.0020,HP Probook G4 New Edition,4.0,512000.0,97280.0,609280.0,Direct,COMPU,Alger,SARL,7,2025,July,128000.0,106685.71428571429,21314.28571428571,85257.14285714284,16.6518,426742.85714285716
VCD/0012,2025-07-03,SARL AGRODZ,"Cité 310 logt Kouba, Alger",COMPU.0020,HP Probook G4 New Edition,4.0,512000.0,97280.0,609280.0,Direct,COMPU,Alger,SARL,7,2025,July,128000.0,109716.66666666667,18283.33333333333,73133.33333333331,14.2839,438866.6666666667
VCD/0012,2025-07-03,SARL AGRODZ,"Cité 310 logt Kouba, Alger",IMPR.0007,Printer EPSON 3010,2.0,68000.0,12920.0,80920.0,Direct,IMPR,Alger,SARL,7,2025,July,34000.0,24855.555555555555,9144.444444444445,18288.88888888889,26.8954,49711.11111111111
VCR/0013,2025-07-10,EURL NOUR ,"Cité des Frères, Constantine",COMPU.0020,HP Probook G4 New Edition,3.0,384000.0,72960.0,456960.0,Retail,COMPU,Constantine,EURL,7,2025,July,128000.0,106685.71428571429,21314.28571428571,63942.85714285713,16.6518,320057.14285714284
VCR/0013,2025-07-10,EURL NOUR ,"Cité des Frères, Constantine",COMPU.0020,HP Probook G4 New Edition,3.0,384000.0,72960.0,456960.0,Retail,COMPU,Constantine,EURL,7,2025,July,128000.0,109716.66666666667,18283.33333333333,54849.999999999985,14.2839,329150.0
VCR/0013,2025-07-10,EURL NOUR,"Cité des Frères, Constantine",IMPR.0002,Printer Canon 6030,4.0,200000.0,38000.0,238000.0,Retail,IMPR,Constantine,EURL,7,2025,July,50000.0,43974.6835443038,6025.3164556962,24101.2658227848,12.0506,175898.7341772152
VCR/0013,2025-07-10,EURL NOUR,"Cité des Frères, Constantine",INK.0034,Toner Canon 6030,8.0,15200.0,2888.0,18088.0,Retail,INK,Constantine,EURL,7,2025,July,1900.0,50.72727272727273,1849.2727272727273,14794.181818181818,97.3301,405.8181818181818
VCD/0014,2025-07-17,SARL ABC,"Cité 05 Juillet, Constantine",COMPU.0011,Laptop Lenovo 110,3.0,273000.0,51870.0,324870.0,Direct,COMPU,Constantine,SARL,7,2025,July,91000.0,72511.11111111111,18488.88888888889,55466.66666666667,20.3175,217533.3333333333
VCD/0014,2025-07-17,SARL ABC,"Cité 05 Juillet, Constantine",SCA.0002,Scanner Epson 1600,3.0,66000.0,12540.0,78540.0,Direct,SCA,Constantine,SARL,7,2025,July,22000.0,15237.554585152839,6762.445414847161,20287.336244541482,30.7384,45712.66375545852
VCG/0015,2025-07-24,SARL DIGITAL ,"Rue Didouche, Tizi Ouzou",IMPR.0007,Printer EPSON 3010,5.0,170000.0,32300.0,202300.0,Government,IMPR,Tizi Ouzou,SARL,7,2025,July,34000.0,24855.555555555555,9144.444444444445,45722.222222222226,26.8954,124277.77777777778
VCG/0015,2025-07-24,SARL DIGITAL,"Rue Didouche, Tizi Ouzou",INK.0005,INK Epson 110,30.0,25500.0,4845.0,30345.0,Government,INK,Tizi Ouzou,SARL,7,2025,July,850.0,612.5409836065573,237.45901639344265,7123.77049180328,27.9364,18376.22950819672
VCG/0015,2025-07-24,SARL DIGITAL,"Rue Didouche, Tizi Ouzou",INK.0001,INK Canon 3210,20.0,38000.0,7220.0,45220.0,Government,INK,Tizi Ouzou,SARL,7,2025,July,1900.0,608.7982832618026,1291.2017167381973,25824.034334763946,67.958,12175.965665236052
VCD/0016,2025-07-30,EURL XYZ,"Rue 05 Elhamri, Oran",COMPU.0020,HP Probook G4 New Edition,2.0,256000.0,48640.0,304640.0,Direct,COMPU,Oran,EURL,7,2025,July,128000.0,106685.71428571429,21314.28571428571,42628.57142857142,16.6518,213371.42857142858
VCD/0016,2025-07-30,EURL XYZ,"Rue 05 Elhamri, Oran",COMPU.0020,HP Probook G4 New Edition,2.0,256000.0,48640.0,304640.0,Direct,COMPU,Oran,EURL,7,2025,July,128000.0,109716.66666666667,18283.33333333333,36566.66666666666,14.2839,219433.33333333334
VCD/0017,2025-08-05,SNC Wiffak,"Boulvard Nord, Sétif",COMPU.0020,HP Probook G4 New Edition,5.0,640000.0,121600.0,761600.0,Direct,COMPU,Sétif,SNC,8,2025,August,128000.0,106685.71428571429,21314.28571428571,106571.42857142855,16.6518,533428.5714285715
VCD/0017,2025-08-05,SNC Wiffak,"Boulvard Nord, Sétif",COMPU.0020,HP Probook G4 New Edition,5.0,640000.0,121600.0,761600.0,Direct,COMPU,Sétif,SNC,8,2025,August,128000.0,109716.66666666667,18283.33333333333,91416.66666666664,14.2839,548583.3333333334
VCD/0017,2025-08-05,SNC Wiffak,"Boulvard Nord, Sétif",IMPR.0002,Printer Canon 6030,6.0,300000.0,57000.0,357000.0,Direct,IMPR,Sétif,SNC,8,2025,August,50000.0,43974.6835443038,6025.3164556962,36151.8987341772,12.0506,263848.10126582277
VCD/0017,2025-08-05,SNC Wiffak,"Boulvard Nord, Sétif",INK.0034,Toner Canon 6030,12.0,22800.0,4332.0,27132.0,Direct,INK,Sétif,SNC,8,2025,August,1900.0,50.72727272727273,1849.2727272727273,22191.272727272728,97.3301,608.7272727272727
VCR/0018,2025-08-12,EURL HAMIDI,"Promotion Bahia, Oran",COMPU.0011,Laptop Lenovo 110,4.0,372000.0,70680.0,442680.0,Retail,COMPU,Oran,EURL,8,2025,August,93000.0,72511.11111111111,20488.88888888889,81955.55555555556,22.0311,290044.44444444444
VCR/0018,2025-08-12,EURL HAMIDI,"Promotion Bahia, Oran",IMPR.0007,Printer EPSON 3010,3.0,102000.0,19380.0,121380.0,Retail,IMPR,Oran,EURL,8,2025,August,34000.0,24855.555555555555,9144.444444444445,27433.333333333336,26.8954,74566.66666666666
VCD/0019,2025-08-19,SARL TECHNO ,"Zone Industrielle, Blida",COMPU.0020,HP Probook G4 New Edition,6.0,768000.0,145920.0,913920.0,Direct,COMPU,Blida,SARL,8,2025,August,128000.0,106685.71428571429,21314.28571428571,127885.71428571426,16.6518,640114.2857142857
VCD/0019,2025-08-19,SARL TECHNO ,"Zone Industrielle, Blida",COMPU.0020,HP Probook G4 New Edition,6.0,768000.0,145920.0,913920.0,Direct,COMPU,Blida,SARL,8,2025,August,128000.0,109716.66666666667,18283.33333333333,109699.99999999997,14.2839,658300.0
VCD/0019,2025-08-19,SARL TECHNO,"Zone Industrielle, Blida",IMPR.0002,Printer Canon 6030,8.0,400000.0,76000.0,476000.0,Direct,IMPR,Blida,SARL,8,2025,August,50000.0,43974.6835443038,6025.3164556962,48202.5316455696,12.0506,351797.4683544304
VCD/0019,2025-08-19,SARL TECHNO,"Zone Industrielle, Blida",SCA.0002,Scanner Epson 1600,4.0,90000.0,17100.0,107100.0,Direct,SCA,Blida,SARL,8,2025,August,22500.0,15237.554585152839,7262.445414847161,29049.781659388645,32.2775,60950.218340611355
VCR/0020,2025-08-25,SARL AGRODZ,"Cité 310 logt Kouba, Alger",COMPU.0011,Laptop Lenovo 110,3.0,279000.0,53010.0,332010.0,Retail,COMPU,Alger,SARL,8,2025,August,93000.0,72511.11111111111,20488.88888888889,61466.66666666667,22.0311,217533.3333333333
VCR/0020,2025-08-25,SARL AGRODZ,"Cité 310 logt Kouba, Alger",INK.0001,INK Canon 3210,25.0,47500.0,9025.0,56525.0,Retail,INK,Alger,SARL,8,2025,August,1900.0,608.7982832618026,1291.2017167381973,32280.042918454932,67.958,15219.957081545064
VCR/0020,2025-08-25,SARL AGRODZ,"Cité 310 logt Kouba, Alger",INK.0005,INK Epson 110,25.0,21250.0,4037.5,25287.5,Retail,INK,Alger,SARL,8,2025,August,850.0,612.5409836065573,237.45901639344265,5936.475409836066,27.9364,15313.524590163934
VCD/0021,2025-08-29,EURL XYZ,"Rue 05 Elhamri, Oran",COMPU.0020,HP Probook G4 New Edition,4.0,512000.0,97280.0,609280.0,Direct,COMPU,Oran,EURL,8,2025,August,128000.0,106685.71428571429,21314.28571428571,85257.14285714284,16.6518,426742.85714285716
VCD/0021,2025-08-29,EURL XYZ,"Rue 05 Elhamri, Oran",COMPU.0020,HP Probook G4 New Edition,4.0,512000.0,97280.0,609280.0,Direct,COMPU,Oran,EURL,8,2025,August,128000.0,109716.66666666667,18283.33333333333,73133.33333333331,14.2839,438866.6666666667
