Num.CMD,Date.CMD,Fournisseur,Code Produit,Produit,QTY,Montant HT,Taxe,Montant TTC,Type Achat,Catégorie Produit,Forme Juridique,Mois,Année,Nom Mois,PU_Achat
AFL/0011,2025-07-05,SARL IMPORT COMPUTER,INK.0034,Toner Canon 6030,40.0,2080.0,395.2,2475.2,Local,INK,SARL,7,2025,July,52.0
AFI/0012,2025-07-10,SNC DISTECH,COMPU.0020,HP Probook G4 New Edition,10.0,1085000.0,206150.0,1291150.0,Import,COMPU,SNC,7,2025,July,108500.0
AFI/0012,2025-07-10,SNC DISTECH,IMPR.0007,Printer EPSON 3010,12.0,300000.0,57000.0,357000.0,Import,IMPR,SNC,7,2025,July,25000.0
AFI/0012,2025-07-10,SNC DISTECH,INK.0005,INK Epson 110,60.0,40800.0,7752.0,48552.0,Import,INK,SNC,7,2025,July,680.0
AFI/0013,2025-07-15,EURL ABM,COMPU.0011,Laptop Lenovo 110,12.0,876000.0,166440.0,1042440.0,Import,COMPU,EURL,7,2025,July,73000.0
AFI/0013,2025-07-15,EURL ABM,IMPR.0002,Printer Canon 6030,10.0,440000.0,83600.0,523600.0,Import,IMPR,EURL,7,2025,July,44000.0
AFI/0013,2025-07-15,EURL ABM,SCA.0002,Scanner Epson 1600,8.0,136000.0,25840.0,161840.0,Import,SCA,EURL,7,2025,July,17000.0
AFI/0013,2025-07-15,EURL ABM,INK.0001,INK Canon 3210,50.0,33500.0,6365.0,39865.0,Import,INK,EURL,7,2025,July,670.0
AFL/0014,2025-08-05,SARL IMPORT COMPUTER,COMPU.0020,HP Probook G4 New Edition,18.0,1998000.0,379620.0,2377620.0,Local,COMPU,SARL,8,2025,August,111000.0
AFL/0014,2025-08-05,SARL IMPORT COMPUTER,IMPR.0002,Printer Canon 6030,20.0,900000.0,171000.0,1071000.0,Local,IMPR,SARL,8,2025,August,45000.0
AFL/0014,2025-08-05,SARL IMPORT COMPUTER,INK.0034,Toner Canon 6030,50.0,2700.0,513.0,3213.0,Local,INK,SARL,8,2025,August,54.0
AFI/0015,2025-08-10,EURL MICROSUP,COMPU.0020,HP Probook G4 New Edition,12.0,1320000.0,250800.0,1570800.0,Import,COMPU,EURL,8,2025,August,110000.0
AFI/0015,2025-08-10,EURL MICROSUP,IMPR.0007,Printer EPSON 3010,15.0,382500.0,72675.0,455175.0,Import,IMPR,EURL,8,2025,August,25500.0
AFI/0015,2025-08-10,EURL MICROSUP,INK.0001,INK Canon 3210,45.0,31050.0,5899.5,36949.5,Import,INK,EURL,8,2025,August,690.0
AFI/0016,2025-08-15,SNC WIFFAK,INK.0005,INK Epson 110,70.0,49000.0,9310.0,58310.0,Import,INK,SNC,8,2025,August,700.0
AFI/0016,2025-08-15,SNC WIFFAK,SCA.0002,Scanner Epson 1600,10.0,175000.0,33250.0,208250.0,Import,SCA,SNC,8,2025,August,17500.0
AFI/0017,2025-08-20,EURL ABM,COMPU.0011,Laptop Lenovo 110,15.0,1125000.0,213750.0,1338750.0,Import,COMPU,EURL,8,2025,August,75000.0
AFI/0017,2025-08-20,EURL ABM,IMPR.0002,Printer Canon 6030,12.0,540000.0,102600.0,642600.0,Import,IMPR,EURL,8,2025,August,45000.0
